XP_001727958.1	iMM1415.63857	25.6	583	325	23	53	600	11	519	2.81e-41	157
XP_001727958.1	iCHOv1.100760350	25.6	578	333	23	53	601	28	537	3.26e-38	148
XP_001727960.2	iMM904.YPL110C	23.5	650	333	25	1	517	1	619	2.02e-12	70.9
XP_001727974.1	iAM_Pb448.PBANKA_103440	28.7	321	198	12	150	452	139	446	5.35e-32	127
XP_001727974.1	iAM_Pf480.PF3D7_1407900	26.7	344	225	12	125	452	114	446	3.00e-30	122
XP_001727974.1	iAM_Pv461.PVX_086040	25.9	324	214	10	145	452	133	446	4.58e-29	119
XP_001727974.1	iAM_Pc455.PCYB_134860	25.6	324	215	10	145	452	17	330	1.49e-29	118
XP_001727985.1	iYO844.BSU38860	23.6	296	193	9	6	283	2	282	3.74e-09	57.0
XP_001727985.1	iIS312.TCDM_01461	26.1	249	171	8	91	335	84	323	3.64e-09	57.0
XP_001727986.2	iAM_Pc455.PCYB_113330	31.1	148	98	2	676	822	1216	1360	5.60e-12	69.7
XP_001727992.2	iML1515.b2708	32.6	89	57	2	135	223	233	318	7.93e-06	48.1
XP_001727992.2	iSDY_1059.SDY_2905	32.6	89	57	2	135	223	220	305	7.51e-06	48.1
XP_001727992.2	iSSON_1240.SSON_2852	32.6	89	57	2	135	223	220	305	7.51e-06	48.1
XP_001727992.2	iSF_1195.SF2731	32.6	89	57	2	135	223	220	305	9.98e-06	47.8
XP_001727992.2	iYL1228.KPN_03043	33.7	89	56	2	135	223	233	318	1.40e-05	47.4
XP_001727998.2	iCHOv1.100751509	32.9	331	195	11	118	441	325	635	7.13e-37	146
XP_001727998.2	iMM1415.18799	33.1	329	193	11	120	441	301	609	1.17e-36	145
XP_001727998.2	iMM1415.72469	28.9	505	295	14	120	621	338	781	7.40e-36	143
XP_001727998.2	iAT_PLT_636.113026	35.8	327	181	8	120	441	342	644	4.30e-35	141
XP_001727998.2	iAT_PLT_636.23236	30.1	405	228	12	76	441	268	656	9.25e-35	140
XP_001727998.2	iCHOv1.100751979	32.4	352	192	9	120	441	302	637	2.17e-34	139
XP_001727998.2	iAT_PLT_636.5333	31.9	329	197	11	120	441	301	609	2.23e-34	139
XP_001727998.2	iCHOv1.100751872	29.2	370	191	10	120	440	297	644	2.55e-32	132
XP_001727998.2	iAT_PLT_636.5332	27.4	398	195	9	118	441	316	693	5.04e-32	132
XP_001727998.2	iCHOv1.100759620	35.8	327	187	7	120	441	338	646	4.42e-32	132
XP_001727998.2	iAT_PLT_636.84812	29.3	368	193	11	120	441	295	641	4.67e-32	132
XP_001728000.2	iCHOv1.100772642	23.7	304	183	11	3	267	80	373	3.50e-08	54.3
XP_001728014.1	iMM904.YBR252W	65.9	138	46	1	92	228	9	146	5.98e-57	177
XP_001728014.1	iCHOv1.100761578	61.7	133	51	0	96	228	59	191	1.52e-52	168
XP_001728015.2	iCHOv1.100768396	35.7	280	128	7	10	278	4	242	2.03e-40	147
XP_001728015.2	iMM1415.216134	36.5	274	134	7	10	278	4	242	5.46e-40	145
